id;numero;firma;primary_key;transaccion;operada
1;Money Market Account;primary Tanzania Officer;parse Handcrafted Wooden Cheese calculate;Personal Loan Account Lake;0
2;Nevada Expanded e-commerce;back-end;Kuwaiti Dinar solid state Future;systemic Home Director;0
3;invoice Lead;HDD Business-focused;protocol;CFA Franc BCEAO installation New Taiwan Dollar;0
4;Turkmenistan Borders;mobile protocol Gorgeous Plastic Mouse;Auto Loan Account Steel;Brook sky blue Concrete;0
5;invoice collaborative;Salad East Caribbean Dollar;Home Loan Account iterate copying;Bermuda frictionless invoice;1
6;invoice;Direct;Regional Awesome Granite Car Games;back-end Sports Yemeni Rial;1
7;User-friendly e-tailers Representative;Industrial Producer hard drive;hack Reactive withdrawal;holistic Iranian Rial Lead;1
8;grey;Auto Loan Account overriding Concrete;implementation Street;Principal;1
9;Handcrafted Fresh Chips;Bacon Industrial;Soft e-services Small Steel Chicken;B2C Colorado;1
10;redundant;Cayman Islands;Central;input Garden violet;1
